Card name,Type,Color
Painted Bluffs,Land - Desert,Colorless
Petrified Field,Land,Colorless
Quicksand,Land,Colorless
Radiant Fountain,Land,Colorless
Rath's Edge,Legendary Land,Colorless
Reliquary Tower,Land,Colorless
Rishadan Port,Land,Colorless
Rogue's Passage,Land,Colorless
Ruins of Oran-Rief,Land,Colorless
Safe Haven,Land,Colorless
Scavenger Grounds,Land - Desert,Colorless
School of the Unseen,Land,Colorless
Scrying Sheets,Snow Land,Colorless
Sea Gate Wreckage,Land,Colorless
Seraph Sanctuary,Land,Colorless
Sheltered Valley,Land,Colorless
Shimmerdrift Vale,Snow Land,Colorless
Spawning Bed,Land,Colorless
Springjack Pasture,Land,Colorless
Stalking Stones,Land,Colorless
Strip Mine,Land,Colorless
Sunscorched Desert,Land - Desert,Colorless
Swarmyard,Land,Colorless
Tectonic Edge,Land,Colorless
Temple of the Dragon Queen,Land,Colorless
Temple of the False God,Land,Colorless
Terminal Moraine,Land,Colorless
Terrain Generator,Land,Colorless
Terramorphic Expanse,Land,Colorless
Thawing Glaciers,Land,Colorless
The Biblioplex,Land,Colorless
The Tabernacle at Pendrell Vale,Legendary Land,Colorless
Thespian's Stage,Land,Colorless
Throne of the High City,Land,Colorless
Tomb of the Spirit Dragon,Land,Colorless
Transguild Promenade,Land,Colorless
Treasure Vault,Artifact Land,Colorless
Tyrite Sanctum,Land,Colorless
Unstable Frontier,Land,Colorless
Urza's Factory,Land - Urza,Colorless
Urza's Mine,Land - Urza,Colorless
Urza's Power Plant,Land - Urza,Colorless
Urza's Saga,Enchantment Land - Urza Saga,Colorless
Urza's Tower,Land - Urza Tower,Colorless
Vesuva,Land,Colorless
Wasteland,Land,Colorless
Wintermoon Mesa,Land,Colorless
Zhalfirin Void,Land,Colorless
Zoetic Cavern,Land,Colorless
Island,Basic Land,Colorless
Swamp,Basic Land,Colorless
Forest,Basic Land,Colorless
Plains,Basic Land,Colorless
Mountain,Basic Land,Colorless
